date,temp_max_c,temp_min_c,rainfall_mm,humidity_pct,solar_rad,year,month,month_name,week,day_of_week,is_rainy_day
2021-06-20,28.08,22.99,2.53,89.54,4.6613,2021,6,June,24,Sunday,1
2021-06-21,26.91,22.47,33.6,91.7,3.7682,2021,6,June,25,Monday,1
2021-06-22,26.5,22.55,1.28,93.21,4.1218,2021,6,June,25,Tuesday,1
2021-06-23,28.52,21.49,0.72,88.45,3.4486,2021,6,June,25,Wednesday,0
2021-06-24,29.95,22.18,1.05,84.12,5.2394,2021,6,June,25,Thursday,1
2021-06-25,27.03,23.68,10.35,93.55,5.4307,2021,6,June,25,Friday,1
2021-06-26,27.9,23.15,9.58,92.5,4.0289,2021,6,June,25,Saturday,1
2021-06-27,26.95,23.12,7.79,92.18,3.5899,2021,6,June,25,Sunday,1
2021-06-28,27.33,22.84,8.16,89.57,5.1221,2021,6,June,26,Monday,1
2021-06-29,28.05,22.46,8.79,87.1,3.5525,2021,6,June,26,Tuesday,1
2021-06-30,29.32,21.83,3.67,85.76,5.0688,2021,6,June,26,Wednesday,1
2021-07-01,28.53,23.18,4.6,89.87,4.8929,2021,7,July,26,Thursday,1
2021-07-02,27.66,23.25,8.71,92.19,4.8823,2021,7,July,26,Friday,1
2021-07-03,26.64,22.73,19.16,94.57,2.1761,2021,7,July,26,Saturday,1
2021-07-04,27.74,21.96,8.37,90.22,4.1897,2021,7,July,26,Sunday,1
2021-07-05,27.85,22.43,39.83,90.46,4.0922,2021,7,July,27,Monday,1
2021-07-06,27.75,21.81,2.03,89.73,4.1575,2021,7,July,27,Tuesday,1
2021-07-07,28.42,22.4,4.44,91.07,5.0983,2021,7,July,27,Wednesday,1
2021-07-08,27.9,23.38,9.9,92.51,4.5811,2021,7,July,27,Thursday,1
2021-07-09,28.45,22.78,12.85,90.98,2.4432,2021,7,July,27,Friday,1
2021-07-10,27.46,22.73,4.22,90.49,4.1952,2021,7,July,27,Saturday,1
2021-07-11,29.03,21.73,5.51,89.0,4.3572,2021,7,July,27,Sunday,1
2021-07-12,27.42,22.84,6.03,92.15,3.924,2021,7,July,28,Monday,1
2021-07-13,28.38,22.65,5.9,90.73,5.7634,2021,7,July,28,Tuesday,1
2021-07-14,29.04,22.69,6.42,89.41,4.2991,2021,7,July,28,Wednesday,1
2021-07-15,28.07,22.94,7.38,91.12,3.6943,2021,7,July,28,Thursday,1
